"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ANTIGONISH REVIEW","0003-5661","0003-5661","ST FRANCIS XAVIER UNIV","P O BOX 5000, ANTIGONISH, CANADA, NOVA SCOTIA, B2G 2W5","","Literature"
"ANTIKE UND ABENDLAND","0003-5696","1613-0421","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","","Classical Studies"
"ANTIOCH REVIEW","0003-5769","2326-9707","ANTIOCH REVIEW","BOX 148, YELLOW SPRINGS, USA, OH, 45387","","Literature"
"ANTIQUITY","0003-598X","1745-1744","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU","English","Archaeology"
"ANUARIO FILOSOFICO","0066-5215","0066-5215","SERVICIO PUBL UNIV NAVARRA","PIO XII, 53, PAMPLONA, SPAIN, NAVARRA, 31007","","Philosophy"
"APERTURE","0003-6420","0003-6420","APERTURE","20 EAST 23RD ST, NEW YORK, USA, NY, 10010","","Art & Architecture"
"APOLLO-THE INTERNATIONAL ART MAGAZINE","0003-6536","0003-6536","APOLLO MAGAZINE LTD","20 THEOBALD'S RD, LONDON, ENGLAND, WC1X 8PF","","Art & Architecture"
"APPALACHIAN JOURNAL","0090-3779","0090-3779","APPALACHIAN STATE UNIV","BELK LIBRARY, BOX 32026, BOONE, USA, NC, 28608","","Literature"
"APPLIED LINGUISTICS REVIEW","1868-6303","1868-6311","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","English","Language & Linguistics"
"ARABIAN ARCHAEOLOGY AND EPIGRAPHY","0905-7196","1600-0471","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","","Archaeology"
"ARBOR-CIENCIA PENSAMIENTO Y CULTURA","0210-1963","1988-303X","CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC","VITRUVIO 8, MADRID, SPAIN, 28006","English, Portuguese, Spanish","General"
"ARCADIA","0003-7982","1613-0642","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","","Literature"
"ARCHAEOFAUNA","1132-6891","1132-6891","LABORATORIO ARQUEOZOOLOGIA, DPTO BIOLOGIA","UNIV AUTONOMA MADRID, MADRID, SPAIN, 28049","","Archaeology"
"ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES","1866-9557","1866-9565","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Archaeology"
"ARCHAEOLOGICAL DIALOGUES","1380-2038","1478-2294","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","","Archaeology"
"ARCHAEOLOGICAL PROSPECTION","1075-2196","1099-0763","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Archaeology"
"ARCHAEOLOGICAL REPORTS-LONDON","0570-6084","2041-4102","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","","Archaeology"
"ARCHAEOLOGICAL RESEARCH IN ASIA","2352-2267","2352-2275","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","","Archaeology"
"ARCHAEOLOGIES-JOURNAL OF THE WORLD ARCHAEOLOGICAL CONGRESS","1555-8622","1935-3987","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","","Archaeology"
"ARCHAEOLOGY","0003-8113","1943-5746","ARCHAEOLOGICAL INST AMERICA","656 BEACON STREET, BOSTON, USA, MA, 02215","","Archaeology"
"ARCHAEOLOGY IN OCEANIA","0728-4896","1834-4453","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Archaeology"
"ARCHAEOMETRY","0003-813X","1475-4754","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Archaeology"
"ARCHAOLOGISCHES KORRESPONDENZBLATT","0342-734X","","ROMISCH-GERMANISCHES ZENTRALMUSEUM","ERNST-LUDWIG-PLATZ 2, MAINZ, GERMANY, 55116","","Archaeology"
"ARCHEOLOGICKE ROZHLEDY","0323-1267","2570-9151","ACAD SCIENCES CZECH REP, INST ARCHAEOLOGY","MALA STRANA, LETENSKA 4, PRAHA 1, CZECH REPUBLIC, 118 01","","Archaeology"
"ARCHIPEL-ETUDES INTERDISCIPLINAIRES SUR LE MONDE INSULINDIEN","0044-8613","2104-3655","ASSOC ARCHIPEL","EHESS BUREAU 732, 54 BOULEVARD RASPAIL, PARIS, FRANCE, 75006","","General"
"ARCHITECT","1935-7001","1935-7001","HANLEY WOOD, LLC","ONE THOMAS CIRCLE, NW, STE 600, WASHINGTON, USA, DC, 20005-5701","","Art & Architecture"
"ARCHITECTURAL DESIGN","0003-8504","1554-2769","WILEY PERIODICALS, INC","ONE MONTGOMERY ST, SUITE 1200, SAN FRANCISCO, USA, CA, 94104","","Art & Architecture"
"ARCHITECTURAL HISTORY","0066-622X","2059-5670","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU","","Art & Architecture"
"ARCHITECTURAL RECORD","0003-858X","","MCGRAW HILL INC","1221 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10020","","Art & Architecture"
"ARCHITECTURAL REVIEW","0003-861X","","EMAP BUSINESS PUBLISHING LTD","151 ROSEBERY AVE, LONDON, ENGLAND, EC1R 4QX","","Art & Architecture"
"ARCHITECTURAL SCIENCE REVIEW","0003-8628","1758-9622","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","","Art & Architecture"
"ARCHITECTURA-ZEITSCHRIFT FUR GESCHICHTE DER BAUKUNST","0044-863X","","DEUTSCHER KUNSTVERLAG GMBH","NYMPHENBURGER STR 84, MUNICH, GERMANY, 80636","","Art & Architecture"
"ARCHITEKTURA & URBANIZMUS","0044-8680","","INST HISTORY SLOVAK ACAD SCIENCES","DEPT ARCHITECTURE INST, KLEMENSOVA 19, BRATISLAVA, SLOVAKIA, 814 99","","Art & Architecture"
"ARCHIVE FOR HISTORY OF EXACT SCIENCES","0003-9519","1432-0657","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","Multi-Language","History"
"ARCHIVE FOR THE PSYCHOLOGY OF RELIGION-ARCHIV FUR RELIGIONSPSYCHOLOGIE","0084-6724","1573-6121","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","Multi-Language","Religion & Theology"
"ARCHIVES AND RECORDS-THE JOURNAL OF THE ARCHIVES AND RECORDS ASSOCIATION","2325-7962","2325-7989","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","General"
"ARCHIVES OF AMERICAN ART JOURNAL","0003-9853","2327-0667","UNIV CHICAGO PRESS","1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954","","Art & Architecture"
"ARCHIVES OF ASIAN ART","0066-6637","1944-6497","DUKE UNIV PRESS","905 W MAIN ST, STE 18-B, DURHAM, USA, NC, 27701","","Art & Architecture"
"ARCHIVES OF NATURAL HISTORY","0260-9541","1755-6260","EDINBURGH UNIV PRESS","THE TUN-HOLYROOD RD, 12 2F JACKSONS ENTRY, EDINBURGH, SCOTLAND, EH8 8PJ","English","History"
