"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"AGGRESSION AND VIOLENT BEHAVIOR","1359-1789","1873-6335","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Psychology"
"AGGRESSIVE BEHAVIOR","0096-140X","1098-2337","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Psychology"
"AGING & MENTAL HEALTH","1360-7863","1364-6915","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology"
"AGING NEUROPSYCHOLOGY AND COGNITION","1382-5585","1744-4128","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology"
"AGRIBUSINESS","0742-4477","1520-6297","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Economics"
"AGRICULTURAL ECONOMICS","0169-5150","1574-0862","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Economics"
"AGRICULTURE AND HUMAN VALUES","0889-048X","1572-8366","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Sociology & Social Sciences"
"AIDS AND BEHAVIOR","1090-7165","1573-3254","SPRINGER/PLENUM PUBLISHERS","233 SPRING ST, NEW YORK, USA, NY, 10013","English","Public Health & Health Care Science"
"AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV","0954-0121","1360-0451","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Public Health & Health Care Science"
"AIDS EDUCATION AND PREVENTION","0899-9546","1943-2755","GUILFORD PUBLICATIONS INC","370 SEVENTH AVE, SUITE 1200, NEW YORK, USA, NY, 10001-1020","English","Public Health & Health Care Science"
"AIDS PATIENT CARE AND STDS","1087-2914","1557-7449","MARY ANN LIEBERT, INC","140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801","English","Public Health & Health Care Science"
"AJIDD-AMERICAN JOURNAL ON INTELLECTUAL AND DEVELOPMENTAL DISABILITIES","1944-7515","1944-7558","AMER ASSOC INTELLECTUAL DEVELOPMENTAL DISABILITIES","444 N CAPITOL ST, NW STE 846, WASHINGTON, USA, DC, 20001-1512","English","Rehabilitation"
"ALCOHOL AND ALCOHOLISM","0735-0414","1464-3502","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Public Health & Health Care Science"
"ALCOHOL RESEARCH-CURRENT REVIEWS","1535-7414","1930-0573","NATL INST ALCOHOL ABUSE  ALCOHOLISM","6000 EXECUTIVE BLVD, ROCKVILLE, USA, MD, 20892-7003","English","Public Health & Health Care Science"
"ALTERNATIVES","0304-3754","2163-3150","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Political Science & Public Administration"
"AMERICAN ANNALS OF THE DEAF","0002-726X","1543-0375","GALLAUDET UNIV PRESS","800 FLORIDA AVE NE, WASHINGTON, USA, DC, 20002","English","Rehabilitation"
