"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ACTA BIOLOGICA SZEGEDIENSIS","1588-385X","1588-4082","UNIV SZEGED, FAC SCIENCE","C/O E SZABO, EXCHANGE LIBRARIAN, DUGONICS TER 13, PO BOX 393, SZEGED, HUNGARY, 6701","","Biology"
"ACTA BIOLOGICA UNIVERSITATIS DAUGAVPILIENSIS","1407-8953","","UNIV DAUGAVPILS","VIENBAS 13, DAUGAVPILS, LATVIA, LV-5401","","Biology"
"ACTA BIOLOGICA VENEZUELICA","0001-5326","","UNIV CENTRAL VENEZUELA, INST ZOOLOGIA TROPICAL","APARTADO POSTAL 47058, CARACAS, VENEZUELA, 1041-A","","Biology"
"ACTA BIOTHEORETICA","0001-5342","1572-8358","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Mathematical & Computational Biology"
"ACTA BOTANICA CROATICA","0365-0588","1847-8476","UNIV ZAGREB, FAC SCIENCE, DIV BIOLOGY","C/O DAMIR VILICIC, EDITOR-IN-CHIEF, DEPARTMENT OF BOTANY, ROOSEVELTOV TRG 6, ZAGREB, Croatia,  , 10000","English","Plant Sciences"
"ACTA CARPATHICA OCCIDENTALIS","1804-2732","","MUZEUM REGIONU VALASSKO","HORNI NAMESTI 2, VSETIN, CZECH REPUBLIC, 755 01","","Entomology"
"ACTA CARSOLOGICA","0583-6050","1580-2612","KARST RESEARCH INST ZRC SAZU","TITOV TRG 2, POSTOJNA, SLOVENIA, SI-6230","Slovenian","Geosciences, Multidisciplinary"
"ACTA CHIROPTEROLOGICA","1508-1109","1733-5329","MUSEUM & INST ZOOLOGY PAS-POLISH ACAD SCIENCES","WILCZA STREET 64, WARSAW, POLAND, 00-679","English","Zoology"
"ACTA COLEOPTEROLOGICA-MUNICH","0178-7217","","SOC COLEOPTEROLOGICA E V","C/O INGO WOLF, SECRETARY, ENHUBERSTR 3, MUNICH, GERMANY, 8000","","Entomology"
"ACTA CONCHYLIORUM","0721-1635","","CLUB CONCHYLIA E V","MAINZER STR 25, HACKENHEIM, GERMANY, 55546","","Marine & Freshwater Biology"
"ACTA ECOLOGICA SINICA","1000-0933","1872-2032","SCIENCE PRESS","300 WEST CHESNUT ST, EPHRATA, USA, PA, 17522","","Ecology"
"ACTA ENTOMOLOGICA BULGARICA","1310-5914","","BULGARIAN ENTOMOLOGICAL SOC","132 ST. KL. OHRIDSKI BLVD, SOFIA, BULGARIA, 1756","","Entomology"
