"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ORGANIC & BIOMOLECULAR CHEMISTRY","1477-0520","1477-0539","ROYAL SOC CHEMISTRY","THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE, ENGLAND, CAMBS, CB4 0WF","English",""
"ORGANIC CHEMISTRY FRONTIERS","2052-4129","2052-4129","ROYAL SOC CHEMISTRY","THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE, ENGLAND, CAMBS, CB4 0WF","English",""
"ORGANIC LETTERS","1523-7060","1523-7052","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English",""
"ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL","0030-4948","1945-5453","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English",""
"ORGANIC PROCESS RESEARCH & DEVELOPMENT","1083-6160","1520-586X","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English",""
"ORGANOMETALLICS","0276-7333","1520-6041","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English",""
"PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS","1042-6507","1563-5325","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","Multi-Language",""
"PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES","1474-905X","1474-9092","SPRINGERNATURE","CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW","English",""
"PHYTOCHEMISTRY","0031-9422","1873-3700","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","Multi-Language",""
"POLYHEDRON","0277-5387","1873-3719","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English",""
"RESEARCH ON CHEMICAL INTERMEDIATES","0922-6168","1568-5675","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English",""
"RSC MEDICINAL CHEMISTRY","","2632-8682","ROYAL SOC CHEMISTRY","THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE, ENGLAND, CAMBS, CB4 0WF","",""
"RUSSIAN JOURNAL OF GENERAL CHEMISTRY","1070-3632","1608-3350","MAIK NAUKA/INTERPERIODICA/SPRINGER","233 SPRING ST, NEW YORK, USA, NY, 10013-1578","English",""
"RUSSIAN JOURNAL OF ORGANIC CHEMISTRY","1070-4280","1608-3393","MAIK NAUKA/INTERPERIODICA/SPRINGER","233 SPRING ST, NEW YORK, USA, NY, 10013-1578","English",""
"SCIENCE","0036-8075","1095-9203","AMER ASSOC ADVANCEMENT SCIENCE","1200 NEW YORK AVE, NW, WASHINGTON, USA, DC, 20005","English",""
"SCIENCE CHINA-CHEMISTRY","1674-7291","1869-1870","SCIENCE PRESS","16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717","English",""
"STEROIDS","0039-128X","1878-5867","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English",""
"SYNLETT","0936-5214","1437-2096","GEORG THIEME VERLAG KG","RUDIGERSTR 14, STUTTGART, GERMANY, D-70469","English",""
"SYNTHESIS-STUTTGART","0039-7881","1437-210X","GEORG THIEME VERLAG KG","RUDIGERSTR 14, STUTTGART, GERMANY, D-70469","Multi-Language",""
"SYNTHETIC COMMUNICATIONS","0039-7911","1532-2432","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English",""
"TETRAHEDRON","0040-4020","","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","Multi-Language",""
"TETRAHEDRON LETTERS","0040-4039","","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","Multi-Language",""
"ULTRASONICS SONOCHEMISTRY","1350-4177","1873-2828","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English",""
"ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES","0932-0776","1865-7117","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","Multi-Language",""
